StudyID,school,female,eth,ell,sped,frpl,time,age,scw_s,coregpa,pn_bf1,pn_bf2,pn_scw,pn_scw2,avg_scw_tr
1415,p2,0,Caucasian,0,0,NA,T1,13.333333333333334,3.2,72.66666666666667,1329,1338,1251,1265,3.25
1415,p2,0,Caucasian,0,0,NA,T2,13.916666666666666,3.2,78,1229,1045,1015,NA,NA
1415,p2,0,Caucasian,0,0,NA,T3,14.416666666666666,NA,NA,NA,NA,NA,NA,NA
1415,p2,0,Caucasian,0,0,NA,T4,14.833333333333334,NA,NA,NA,NA,NA,NA,NA
1416,p2,1,AfricanAmerican,0,0,NA,T1,13.666666666666666,3.8,84.66666666666667,1393,1075,1075,1070,4
1416,p2,1,AfricanAmerican,0,0,NA,T2,14.25,3.8,89.75,1075,1052,NA,NA,NA
1416,p2,1,AfricanAmerican,0,0,NA,T3,14.666666666666666,NA,NA,NA,NA,NA,NA,NA
1416,p2,1,AfricanAmerican,0,0,NA,T4,15.166666666666666,NA,NA,NA,NA,NA,NA,NA
1424,p2,0,Asian,0,0,NA,T1,14.083333333333334,4,83.33333333333333,1412,1424,1424,1424,3.5
1424,p2,0,Asian,0,0,NA,T2,14.666666666666666,2,83.75,1412,1258,1251,NA,NA
1424,p2,0,Asian,0,0,NA,T3,15.166666666666666,NA,NA,NA,NA,NA,NA,NA
1424,p2,0,Asian,0,0,NA,T4,15.583333333333334,NA,NA,NA,NA,NA,NA,NA
1431,p2,0,Caucasian,0,0,NA,T1,14.333333333333334,4,NA,1432,1034,1034,1280,3.5
1431,p2,0,Caucasian,0,0,NA,T2,14.916666666666666,NA,NA,NA,NA,NA,NA,NA
1431,p2,0,Caucasian,0,0,NA,T3,15.333333333333334,NA,NA,NA,NA,NA,NA,NA
1431,p2,0,Caucasian,0,0,NA,T4,15.833333333333334,NA,NA,NA,NA,NA,NA,NA
1437,p2,NA,Other,0,0,NA,T1,NA,3.6,69.33333333333333,NA,NA,NA,NA,NA
1437,p2,NA,Other,0,0,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
1437,p2,NA,Other,0,0,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
1437,p2,NA,Other,0,0,NA,T4,NA,NA,NA,NA,NA,NA,NA,NA
1439,p2,NA,Other,NA,NA,NA,T1,NA,NA,NA,NA,NA,NA,NA,NA
1439,p2,NA,Other,NA,NA,NA,T2,NA,NA,NA,NA,NA,NA,NA,NA
1439,p2,NA,Other,NA,NA,NA,T3,NA,NA,NA,NA,NA,NA,NA,NA
1439,p2,NA,Other,NA,NA,NA,T4,NA,NA,NA,NA,NA,NA,NA,NA
